condition,task,missions,success_rate,success_rate_se,collision_rate,collision_rate_se,viability,viability_se,payload_rmse,payload_rmse_se,formation_rmse,formation_rmse_se,energy,energy_se,final_gap,final_gap_se,architecture_score,architecture_score_se,role_accuracy,role_accuracy_se,blanket_accuracy,blanket_accuracy_se,exact_partition,exact_partition_se,agreements,agreements_se,causal_changes,causal_changes_se,synergy,synergy_se
collective_constitutive,assemble,20,0.8,0.0917662935482247,0.0,0.0,0.843105945469552,0.007844790834183085,0.1827486107808402,0.0068254782171553695,0.1357553618739969,0.004096530493755909,8.68714875,0.5829830923099956,1.6183463865837724,0.7488854792206255,0.7148400608732473,0.048268767159577036,0.6133152173913042,0.021311083687987863,0.7176630434782608,0.01583994897196592,0.45,0.11413288653790232,7.15,0.43694513686683706,1.2,0.13764944032233706,0.191466767325903,0.011678294025683383
collective_constitutive,repair,20,0.9,0.06882472016116853,0.0,0.0,0.8444931897678496,0.008239743099198194,0.18301113674489145,0.007005966929567096,0.12725221053671634,0.0036883504972660855,8.621550000000003,0.5578183247064307,0.8472899912049577,0.5899101592174497,0.7656078445143707,0.03734587753471606,0.664741847826087,0.02331884492317884,0.7620923913043478,0.014374318675915617,0.65,0.10942433098048308,7.2,0.3947017528263721,0.9,0.06882472016116853,0.16301526637459024,0.012653502699517602
collective_constitutive,reconfigure,20,1.0,0.0,0.0,0.0,0.8317066752202992,0.009419319402453946,0.18902579889634927,0.010153572447796232,0.2047391716197605,0.010370881521926601,8.687148750000002,0.48366335332568494,0.0,0.0,0.8568485388203694,0.0075202890422249565,0.6390624999999999,0.015419935507339754,0.7331521739130434,0.01199902731689477,0.5,0.11470786693528086,1.0,0.0,1.0,0.0,0.7285049733414402,0.009401817072906014
collective_diagnostic,assemble,20,0.0,0.0,0.0,0.0,0.7610453980892212,0.024109876311396577,0.27614018709911836,0.0315621304714779,0.15119260837286824,0.0048269502245359905,12.838612500000002,1.1066932759239692,12.814568252998388,1.12536432487276,0.19486124858704712,0.023106099703891644,0.5696331521739131,0.01891233940723404,0.6777173913043477,0.015363540988402322,0.35,0.1094243309804831,5.3,0.24170447375168494,0.0,0.0,0.1094062199455722,0.027256898444756195
collective_diagnostic,repair,20,0.0,0.0,0.0,0.0,0.8245084255241352,0.007407928224245835,0.19800251799256421,0.007052415116559617,0.13125480484156518,0.003960128944695355,10.083465,0.4863935808730139,8.95716277162008,0.3988116973384866,0.2742660785148857,0.014512924094776771,0.6394021739130434,0.025329918452377597,0.7415760869565218,0.016888491743427655,0.4,0.11239029738980327,5.5,0.2665569949915915,0.0,0.0,0.14303050213087593,0.012899296867009353
collective_diagnostic,reconfigure,20,0.0,0.0,0.0,0.0,0.7696097576099276,0.008765649872186036,0.1800710630922589,0.009289111606127876,0.18605518523510367,0.0078110153957202276,8.17173,0.48825258577413716,0.0,0.0,0.4834740592754909,0.007042443286465002,0.7002717391304347,0.01734649682269303,0.7872282608695654,0.011050587868506276,0.6,0.11239029738980327,1.0,0.0,0.0,0.0,0.6492077720845921,0.008769833199856428
individual_constitutive,assemble,20,0.25,0.09933992677987828,0.0,0.0,0.7893760521178936,0.019275053956785946,0.24411627383066414,0.024609230423337503,0.143725544498611,0.004302956599077372,11.442296250000002,0.9965463399290091,10.057898536357774,1.6292756660844439,0.3421913632811334,0.06750148110195364,0.5945652173913043,0.013732557948944266,0.6898097826086957,0.014594074429179581,0.35,0.1094243309804831,1.0,0.28097574347450816,0.3,0.10513149660756935,0.13773687397424456,0.022619325667905494
individual_constitutive,repair,20,0.15,0.08191780219091253,0.0,0.0,0.8277547997949336,0.007982194577352894,0.196556234795351,0.007428285920304381,0.1307065051299558,0.0037724184149009925,9.811698750000001,0.5417224164779595,7.681781754418559,0.8215302164578535,0.35157492203626284,0.04519226258979688,0.6569972826086956,0.02174124770689179,0.7592391304347826,0.012954982016539078,0.35,0.1094243309804831,0.9,0.2395170579575317,0.15,0.08191780219091253,0.14627687640167422,0.01372428476703877
individual_constitutive,reconfigure,20,0.4,0.11239029738980327,0.0,0.0,0.7950229641118278,0.011385251485000346,0.18336460864930557,0.009272022748263595,0.19353348820312602,0.009096334946453089,8.3778975,0.49794491336200214,0.0,0.0,0.6325116986055931,0.04298745790518966,0.6724864130434781,0.019349767162725535,0.7592391304347825,0.015310326300692876,0.5,0.11470786693528086,0.4,0.11239029738980327,0.4,0.11239029738980327,0.6815105455229288,0.012610103446481382
fixed_team,assemble,20,0.0,0.0,0.0,0.0,0.7610453980892212,0.024109876311396577,0.27614018709911836,0.0315621304714779,0.15119260837286824,0.0048269502245359905,12.838612500000002,1.1066932759239692,12.814568252998388,1.12536432487276,0.19486124858704712,0.023106099703891644,0.5696331521739131,0.01891233940723404,0.6777173913043477,0.015363540988402322,0.35,0.1094243309804831,0.0,0.0,0.0,0.0,0.1094062199455722,0.027256898444756195
