condition,task,seed,success,collision,viability,payload_rmse,formation_rmse,energy,final_gap,architecture_score,role_accuracy,blanket_accuracy,exact_partition,agreements,causal_changes,synergy
collective_constitutive,assemble,2000,1,0,0.8192535238184264,0.18729818059703346,0.13106430674529243,10.683224999999997,0.0,0.8018173445943065,0.5788043478260869,0.6711956521739131,0.0,8,1,0.2200946987716662
collective_constitutive,assemble,2001,1,0,0.8302803656645344,0.1964240419970677,0.1302409853322945,9.933525000000003,0.0,0.8321319231072161,0.5652173913043478,0.6711956521739131,0.0,8,1,0.19299013503257034
collective_constitutive,assemble,2002,1,0,0.8169082997168343,0.22962687903667386,0.11631244476166652,10.683224999999993,0.0,0.8558922293615248,0.7364130434782609,0.7744565217391305,1.0,9,2,0.15383339030426535
collective_constitutive,assemble,2003,1,0,0.8626413801099216,0.16980204003857452,0.14228671877722512,7.309575000000003,0.0,0.8264412961791272,0.47146739130434784,0.6358695652173914,1.0,6,1,0.24391524953849897
collective_constitutive,assemble,2004,0,0,0.8115234805406116,0.1966860510830319,0.15382093841482916,11.620349999999998,9.362754569557993,0.25930355596366805,0.5122282608695652,0.6141304347826086,0.0,6,0,0.14600040320464525
collective_constitutive,assemble,2005,1,0,0.8749717364310688,0.17883331582789092,0.1510824660101303,6.185025000000003,0.0,0.8490549591501945,0.6875,0.75,0.0,10,2,0.18178332212629067
collective_constitutive,assemble,2006,1,0,0.8304038199288516,0.1933981527139616,0.10977482128012891,10.308374999999998,0.0,0.8364913051356078,0.6005434782608695,0.6902173913043478,1.0,9,2,0.1358214215717023
collective_constitutive,assemble,2007,1,0,0.8807539952024442,0.17099365722218482,0.0917395003277215,5.810175000000003,0.0,0.8155784066566176,0.4076086956521739,0.6304347826086957,0.0,5,1,0.29846767485064596
collective_constitutive,assemble,2008,1,0,0.7947559370216338,0.19527810246665994,0.1665493232009504,11.807774999999996,0.0,0.7731456317184051,0.6589673913043478,0.7608695652173914,0.0,7,1,0.16250890278442975
collective_constitutive,assemble,2009,1,0,0.8755488164302452,0.1370468387258903,0.13565998472955396,6.559875000000003,0.0,0.8065271568210814,0.6440217391304348,0.7581521739130435,1.0,9,1,0.2516351946717059
collective_constitutive,assemble,2010,1,0,0.8776920015212691,0.13955099806059182,0.15067626377206908,5.810175000000002,0.0,0.7932866265568723,0.6114130434782609,0.7065217391304348,0.0,6,1,0.22673081423297847
collective_constitutive,assemble,2011,0,0,0.8172657556998054,0.19872898436466097,0.16430028548196518,10.4958,8.611635214978126,0.27922679356193536,0.6671195652173914,0.7554347826086957,0.0,8,1,0.17237430072765214
collective_constitutive,assemble,2012,1,0,0.8294251226801699,0.19542388824458734,0.11569379603628531,9.558674999999997,0.0,0.8020269927293924,0.7105978260869565,0.7771739130434783,1.0,9,2,0.2024845624057422
