condition,task,seed,success,collision,viability,mean_gap,final_gap,architecture_score,boundary_precision,role_accuracy,blanket_accuracy,exact_partition,causal_changes,recovery_delay
constitutive,construct,1000,1,0,0.9514557211413952,4.5952709986123965,0.0,0.8378507792202057,0.8378507792202057,0.6951219512195121,0.801829268292683,0.0,3,15.0
constitutive,construct,1001,1,0,0.909537447243046,5.857562204273146,0.0,0.7570172423461641,0.7570172423461641,0.6463414634146342,0.7682926829268293,0.0,3,23.0
constitutive,construct,1002,1,0,0.9415923486318647,4.325727451323694,0.0,0.8041044859021029,0.8041044859021029,0.6067073170731707,0.6524390243902439,1.0,3,28.0
constitutive,construct,1003,1,0,0.9399589531194417,8.645436589600463,0.0,0.818677076902855,0.818677076902855,0.7088414634146342,0.7804878048780488,1.0,3,30.0
constitutive,construct,1004,1,0,0.9382504835284505,5.400593095170403,0.0,0.7667238499365361,0.7667238499365361,0.7362804878048781,0.8323170731707317,1.0,3,29.0
constitutive,construct,1005,1,0,0.9610924056252854,10.52307339896933,0.0,0.886417070209635,0.886417070209635,0.6783536585365854,0.7469512195121951,1.0,3,45.0
constitutive,construct,1006,1,0,0.9401681820931652,7.219503582716401,0.0,0.8276161893321864,0.8276161893321864,0.510670731707317,0.6128048780487805,1.0,3,41.0
constitutive,construct,1007,1,0,0.8975257570212671,2.8538130096853873,0.0,0.8011107965703446,0.8011107965703446,0.6859756097560976,0.774390243902439,1.0,3,21.0
constitutive,construct,1008,1,0,0.871746904824561,7.910789336871621,0.0,0.7720732528848475,0.7720732528848475,0.5701219512195121,0.6920731707317073,1.0,3,45.0
constitutive,construct,1009,1,0,0.9355535089393273,7.5659836463545584,0.0,0.8242211298736655,0.8242211298736655,0.649390243902439,0.7347560975609756,0.0,3,32.0
constitutive,construct,1010,1,0,0.9365266095203244,3.549954751991305,0.0,0.7856608532331412,0.7856608532331412,0.6875,0.7682926829268293,1.0,3,17.0
constitutive,construct,1011,1,0,0.9516310439468375,3.8411828276873,0.0,0.8029287485276874,0.8029287485276874,0.6692073170731707,0.7652439024390244,1.0,3,18.0
constitutive,construct,1012,1,0,0.9302207361694229,4.123164715104374,0.0,0.7664699440963252,0.7664699440963252,0.7835365853658537,0.8567073170731707,1.0,3,18.0
constitutive,construct,1013,1,0,0.939180409311733,6.771846346158363,0.0,0.8475064140856863,0.8475064140856863,0.7027439024390244,0.7286585365853658,1.0,3,57.0
constitutive,construct,1014,1,0,0.9402495678616779,5.735512713774144,0.0,0.777713747461121,0.777713747461121,0.573170731707317,0.7225609756097561,1.0,3,26.0
constitutive,construct,1015,1,0,0.9164481306105162,6.767615647340457,0.0,0.7656076904732816,0.7656076904732816,0.6067073170731707,0.7621951219512195,1.0,3,37.0
constitutive,construct,1016,1,0,0.9545831165534643,2.396254001610778,0.0,0.7977124115399797,0.7977124115399797,0.885670731707317,0.9054878048780488,1.0,3,28.0
constitutive,construct,1017,1,0,0.9442018303397104,5.848345569870113,0.0,0.8420950311595838,0.8420950311595838,0.6326219512195121,0.6951219512195121,0.0,3,24.0
constitutive,construct,1018,0,0,0.9199907077414957,12.69382326001445,9.950404808643118,0.20997557745243586,0.7283573747953951,0.5762195121951219,0.7652439024390244,1.0,2,nan
constitutive,construct,1019,1,0,0.8505844451147868,10.92580104080097,0.0,0.8444104069378292,0.8444104069378292,0.43140243902439024,0.6371951219512195,1.0,3,48.0
constitutive,stabilize,1000,1,0,0.951018405029303,2.7727645776566523,0.0,0.8340523890200957,0.8340523890200957,0.7911585365853658,0.8323170731707317,1.0,1,35.0
constitutive,stabilize,1001,1,0,0.9436771351203659,1.6396304244879571,0.0,0.8248583073290907,0.8248583073290907,0.7179878048780488,0.7682926829268293,0.0,1,21.0
constitutive,stabilize,1002,1,0,0.9588405564607486,0.680585848513186,0.0,0.8167893232796363,0.8167893232796363,0.7317073170731707,0.8048780487804879,1.0,1,7.0
constitutive,stabilize,1003,1,0,0.9414653020553371,1.4819141730613732,0.0,0.7800337414449156,0.7800337414449156,0.663109756097561,0.7774390243902439,0.0,1,18.0
