task,comparison,metric,mean_difference,standard_error,bootstrap_95_low,bootstrap_95_high,paired_dz,n_pairs
construct,constitutive - diagnostic_only,success,0.95,0.049999999999999996,0.85,1.0,4.2485291572496005,20
construct,constitutive - diagnostic_only,viability,0.7555518518004203,0.020567927670751412,0.7092693326528258,0.7846158222206311,8.214076440739763,20
construct,constitutive - diagnostic_only,final_gap,-26.570837607475816,0.8574345290321812,-28.09844613724985,-24.84745504554427,-6.929298634204392,20
construct,constitutive - diagnostic_only,architecture_score,0.7478240137771218,0.03091984206249418,0.6804756742850849,0.7899969727886339,5.408130244108676,20
construct,constitutive - diagnostic_only,boundary_precision,0.0,0.0,0.0,0.0,nan,20
construct,constitutive - diagnostic_only,role_accuracy,0.15815530955050572,0.025682759825977328,0.10967006947203092,0.20615108926767567,1.3769782747403583,20
construct,constitutive - diagnostic_only,blanket_accuracy,0.13140512860454162,0.022095735707478737,0.08814716172298348,0.17156780107872788,1.329807724177314,20
construct,constitutive - diagnostic_only,exact_partition,0.65,0.13128915456069917,0.4,0.9,1.1070557886050592,20
construct,constitutive - factorized,success,0.55,0.11413288653790232,0.35,0.75,1.0775486583496408,20
construct,constitutive - factorized,viability,0.17139789679659767,0.06990921237263015,0.04534923415327689,0.3083266891785809,0.5482215225009933,20
construct,constitutive - factorized,final_gap,-8.480993977091899,2.0975486955899276,-12.706430362758587,-4.647531373509545,-0.9041067360874884,20
construct,constitutive - factorized,architecture_score,0.3479581629416411,0.07237850306794459,0.21039910376319526,0.4890438834100991,1.074985075241282,20
construct,constitutive - factorized,boundary_precision,0.0,0.0,0.0,0.0,nan,20
construct,constitutive - factorized,role_accuracy,0.04085938858398332,0.021505934767737146,0.0002519850104526114,0.08267916034797412,0.4248332908083071,20
construct,constitutive - factorized,blanket_accuracy,0.03531935425960732,0.02166146877550774,-0.004543280726924915,0.07685881851443223,0.36459428427667884,20
construct,constitutive - factorized,exact_partition,0.15,0.1094243309804831,-0.05,0.35,0.30652250154930544,20
construct,constitutive - random_design,success,0.1,0.09999999999999999,-0.1,0.3,0.223606797749979,20
construct,constitutive - random_design,viability,0.0019578831778796213,0.004941007802579952,-0.007707548246968157,0.011222266404103837,0.08860459348912968,20
construct,constitutive - random_design,final_gap,-0.8512076279537164,0.9349327801651337,-2.6974557367717447,0.9950404808643117,-0.203582349389298,20
construct,constitutive - random_design,architecture_score,0.0575810135428884,0.05476068706060132,-0.046520562719891,0.16700020682007272,0.23512316482214096,20
construct,constitutive - random_design,boundary_precision,0.0,0.0,0.0,0.0,nan,20
construct,constitutive - random_design,role_accuracy,-0.010365853658536584,0.02146164355147615,-0.05266958841463413,0.031021341463414637,-0.10800083120245674,20
construct,constitutive - random_design,blanket_accuracy,0.006402439024390238,0.014570995266803775,-0.01996951219512196,0.03643292682926829,0.09825196301415284,20
construct,constitutive - random_design,exact_partition,0.05,0.08810878443570108,-0.1,0.2,0.12689245413047318,20
construct,constitutive - passive,success,0.95,0.049999999999999996,0.85,1.0,4.2485291572496005,20
construct,constitutive - passive,viability,0.7222365933950989,0.04153922238923058,0.6296242613018929,0.7869512072245769,3.887819814094576,20
construct,constitutive - passive,final_gap,-26.570837607475816,0.8574345290321812,-28.106865082350502,-24.843790070453874,-6.929298634204392,20
construct,constitutive - passive,architecture_score,0.7478240137771218,0.03091984206249418,0.6805160596263915,0.7895250900360525,5.408130244108676,20
construct,constitutive - passive,boundary_precision,0.0,0.0,0.0,0.0,nan,20
construct,constitutive - passive,role_accuracy,0.16037626483841655,0.02057364115086578,0.12259674377876917,0.20159325441645837,1.7430664194369774,20
construct,constitutive - passive,blanket_accuracy,0.1418710458182852,0.018693757698552645,0.10733506005183184,0.17856366434857646,1.6970012535961916,20
construct,constitutive - passive,exact_partition,0.55,0.1534686664402456,0.25,0.8,0.8013605748660966,20
construct,constitutive - oracle,success,-0.05,0.049999999999999996,-0.15,0.0,-0.223606797749979,20
construct,constitutive - oracle,viability,-0.014214092775211445,0.004853596013369172,-0.02459513009674705,-0.006940714610898656,-0.6548480260061543,20
construct,constitutive - oracle,final_gap,0.49752024043215587,0.4975202404321559,0.0,1.4925607212964676,0.22360679774997894,20
construct,constitutive - oracle,architecture_score,-0.02591908986714796,0.025919089867147957,-0.07775726960144388,0.0,-0.22360679774997896,20
construct,constitutive - oracle,boundary_precision,0.0,0.0,0.0,0.0,nan,20
construct,constitutive - oracle,role_accuracy,-0.07660060975609757,0.019367895944276903,-0.11775914634146342,-0.04268292682926829,-0.884371596302288,20
construct,constitutive - oracle,blanket_accuracy,-0.047103658536585366,0.01262766881036272,-0.0714939024390244,-0.023475609756097547,-0.8340968080371891,20
construct,constitutive - oracle,exact_partition,0.05,0.11413288653790232,-0.15,0.25,0.09795896894087644,20
stabilize,constitutive - diagnostic_only,success,0.95,0.05000000000000001,0.85,1.0,4.2485291572496,20
stabilize,constitutive - diagnostic_only,viability,0.004809795123609966,0.0009738437868770444,0.002989605601788128,0.006663523792342742,1.1043895334310736,20
stabilize,constitutive - diagnostic_only,final_gap,-8.229753459216486,0.600597316849325,-9.271509598518675,-6.986249027016969,-3.063997733024968,20
stabilize,constitutive - diagnostic_only,architecture_score,0.49487845104417216,0.029050200072132513,0.43173763607804455,0.5395822980868267,3.8092056315856513,20
stabilize,constitutive - diagnostic_only,boundary_precision,0.0,0.0,0.0,0.0,nan,20
stabilize,constitutive - diagnostic_only,role_accuracy,0.022332317073170745,0.008014044344514637,0.00731707317073173,0.037881097560975616,0.6231133360881507,20
stabilize,constitutive - diagnostic_only,blanket_accuracy,0.019054878048780498,0.006820419233654856,0.00625,0.03201219512195124,0.6247123697293517,20
stabilize,constitutive - diagnostic_only,exact_partition,0.15,0.13128915456069917,-0.1,0.4,0.25547441275501365,20
stabilize,constitutive - factorized,success,0.75,0.09933992677987828,0.55,0.9,1.688194301613413,20
stabilize,constitutive - factorized,viability,-0.009266062268763798,0.0013234505835356238,-0.01179590336460839,-0.006683298202049101,-1.5655699861002075,20
stabilize,constitutive - factorized,final_gap,-6.292761669216866,0.9030018537108779,-7.951241518919179,-4.502497278258925,-1.5582518242625012,20
stabilize,constitutive - factorized,architecture_score,0.3852950838376435,0.052150896893284955,0.2805055618997279,0.4787518208038309,1.6520252769965027,20
stabilize,constitutive - factorized,boundary_precision,0.0,0.0,0.0,0.0,nan,20
stabilize,constitutive - factorized,role_accuracy,0.06425304878048779,0.01086792566911966,0.04314024390243902,0.08429878048780486,1.3220019091869515,20
stabilize,constitutive - factorized,blanket_accuracy,0.04161585365853659,0.007720083931194875,0.02682926829268295,0.056554878048780496,1.205373912402121,20
stabilize,constitutive - factorized,exact_partition,0.2,0.13764944032233709,-0.05,0.45,0.3248931448269654,20
stabilize,constitutive - random_design,success,0.1,0.09999999999999999,-0.1,0.3,0.223606797749979,20
stabilize,constitutive - random_design,viability,-0.0035555334197147404,0.0013646290700039076,-0.006079340717784867,-0.0009270538936587463,-0.5826062625744654,20
stabilize,constitutive - random_design,final_gap,-0.7821293819677303,0.7575750752685866,-2.287056402660452,0.6120426266895481,-0.23085427733478422,20
stabilize,constitutive - random_design,architecture_score,0.05058171469036306,0.0492458316419212,-0.04640273611075933,0.14867800995681776,0.22967254018281222,20
stabilize,constitutive - random_design,boundary_precision,0.0,0.0,0.0,0.0,nan,20
stabilize,constitutive - random_design,role_accuracy,0.03742378048780486,0.013010056058863826,0.013336509146341446,0.06318597560975607,0.6432110420365852,20
stabilize,constitutive - random_design,blanket_accuracy,0.02347560975609757,0.00949820611530794,0.005640243902439024,0.04253048780487806,0.552662877501575,20
stabilize,constitutive - random_design,exact_partition,0.05,0.11413288653790232,-0.15,0.25,0.09795896894087644,20
stabilize,constitutive - passive,success,0.95,0.05000000000000001,0.85,1.0,4.2485291572496,20
stabilize,constitutive - passive,viability,0.003202256088913663,0.001942256512867186,-0.00048432372110099363,0.006930784000379453,0.36866717906396346,20
stabilize,constitutive - passive,final_gap,-8.229753459216486,0.600597316849325,-9.270322034331821,-7.025794098029993,-3.063997733024968,20
stabilize,constitutive - passive,architecture_score,0.49487845104417216,0.029050200072132513,0.43270728675999814,0.5396634195196665,3.8092056315856513,20
stabilize,constitutive - passive,boundary_precision,0.0,0.0,0.0,0.0,nan,20
stabilize,constitutive - passive,role_accuracy,0.04321646341463416,0.01230856007596283,0.02034870426829269,0.06760861280487801,0.7851036136304144,20
stabilize,constitutive - passive,blanket_accuracy,0.033384146341463417,0.009998480875721123,0.014786585365853654,0.05259527439024386,0.746605624576235,20
stabilize,constitutive - passive,exact_partition,0.1,0.12354415362426845,-0.15,0.35,0.18099342720014772,20
stabilize,constitutive - oracle,success,-0.05,0.04999999999999999,-0.15,0.0,-0.22360679774997902,20
stabilize,constitutive - oracle,viability,-0.003576957014650095,0.0015991140505086756,-0.00660386777248308,-0.0005341314932297182,-0.5001718942315634,20
stabilize,constitutive - oracle,final_gap,0.35937847569036857,0.35937847569036857,0.0,1.0781354270711057,0.22360679774997896,20
stabilize,constitutive - oracle,architecture_score,-0.02375729028804583,0.023757290288045827,-0.07127187086413748,0.0,-0.223606797749979,20
stabilize,constitutive - oracle,boundary_precision,0.0,0.0,0.0,0.0,nan,20
stabilize,constitutive - oracle,role_accuracy,0.020198170731707314,0.011582449192855608,-0.0009146341463414698,0.042225609756097564,0.38993896735677447,20
stabilize,constitutive - oracle,blanket_accuracy,0.014024390243902451,0.0088483771826122,-0.0024390243902438933,0.03170731707317074,0.3544095067508509,20
stabilize,constitutive - oracle,exact_partition,0.05,0.11413288653790232,-0.15,0.25,0.09795896894087644,20
transform,constitutive - diagnostic_only,success,1.0,0.0,1.0,1.0,nan,20
transform,constitutive - diagnostic_only,viability,0.09024771324010614,0.004813615123443884,0.08159934417339067,0.09993806264424135,4.19227579363279,20
transform,constitutive - diagnostic_only,final_gap,0.0,0.0,0.0,0.0,nan,20
transform,constitutive - diagnostic_only,architecture_score,0.33464109198653247,0.010103343855157725,0.3159843681242371,0.3541584257189907,7.4062631191618005,20
transform,constitutive - diagnostic_only,boundary_precision,0.33464109198653247,0.010103343855157725,0.3160742736432574,0.35432872289407014,7.4062631191618005,20
transform,constitutive - diagnostic_only,role_accuracy,-0.07050304878048781,0.01150404442767416,-0.093140243902439,-0.04900724085365856,-1.3703842216995623,20
transform,constitutive - diagnostic_only,blanket_accuracy,-0.0625,0.010000988163080628,-0.08170731707317072,-0.0434451219512195,-1.39740439959373,20
transform,constitutive - diagnostic_only,exact_partition,-0.05,0.1352385806055747,-0.3,0.2,-0.08267123063134309,20
transform,constitutive - factorized,success,1.0,0.0,1.0,1.0,nan,20
transform,constitutive - factorized,viability,0.07891662889564836,0.0046677162753166615,0.07044039244620098,0.08809694935334073,3.780498564125398,20
transform,constitutive - factorized,final_gap,0.0,0.0,0.0,0.0,nan,20
transform,constitutive - factorized,architecture_score,0.33464109198653247,0.010103343855157725,0.3157729787503908,0.3543978729792151,7.4062631191618005,20
transform,constitutive - factorized,boundary_precision,0.33464109198653247,0.010103343855157725,0.3160294134385024,0.35482303802492576,7.4062631191618005,20
transform,constitutive - factorized,role_accuracy,-0.04763719512195122,0.013386009893481106,-0.07378048780487804,-0.021493902439024402,-0.7957562215905639,20
transform,constitutive - factorized,blanket_accuracy,-0.04146341463414634,0.011163437057453282,-0.06371951219512194,-0.020731707317073172,-0.8305239078614188,20
transform,constitutive - factorized,exact_partition,0.0,0.1777046633277277,-0.35,0.35,0.0,20
transform,constitutive - random_design,success,1.0,0.0,1.0,1.0,nan,20
transform,constitutive - random_design,viability,0.07500921911922043,0.007899591724409983,0.0591613384646992,0.0897299997998949,2.1232200187191466,20
transform,constitutive - random_design,final_gap,0.0,0.0,0.0,0.0,nan,20
transform,constitutive - random_design,architecture_score,0.2959891533755195,0.024307482102644933,0.24569759300022737,0.33681853432034764,2.7228318620391203,20
transform,constitutive - random_design,boundary_precision,0.2959891533755195,0.024307482102644933,0.24355655883995134,0.336827372817655,2.7228318620391203,20
transform,constitutive - random_design,role_accuracy,-0.007164634146341465,0.011845673268627462,-0.029344512195121936,0.015548780487804875,-0.13524439364341823,20
transform,constitutive - random_design,blanket_accuracy,-0.019512195121951216,0.00926168181905486,-0.037804878048780494,-0.002286585365853666,-0.4710871689972951,20
transform,constitutive - random_design,exact_partition,0.1,0.16059101370939324,-0.2,0.4,0.13923991921155662,20
transform,constitutive - passive,success,1.0,0.0,1.0,1.0,nan,20
transform,constitutive - passive,viability,0.09024771324010614,0.004813615123443884,0.08164599657811117,0.09966200257376438,4.19227579363279,20
transform,constitutive - passive,final_gap,0.0,0.0,0.0,0.0,nan,20
transform,constitutive - passive,architecture_score,0.33464109198653247,0.010103343855157725,0.31570944926918015,0.3541476258398748,7.4062631191618005,20
transform,constitutive - passive,boundary_precision,0.33464109198653247,0.010103343855157725,0.3158208336033291,0.35425094223176457,7.4062631191618005,20
transform,constitutive - passive,role_accuracy,-0.07050304878048781,0.01150404442767416,-0.09260861280487806,-0.048628048780487806,-1.3703842216995623,20
transform,constitutive - passive,blanket_accuracy,-0.0625,0.010000988163080628,-0.08155487804878048,-0.04359756097560976,-1.39740439959373,20
transform,constitutive - passive,exact_partition,-0.05,0.1352385806055747,-0.3,0.2,-0.08267123063134309,20
transform,constitutive - oracle,success,0.0,0.0,0.0,0.0,nan,20
transform,constitutive - oracle,viability,0.0,0.0,0.0,0.0,nan,20
transform,constitutive - oracle,final_gap,0.0,0.0,0.0,0.0,nan,20
transform,constitutive - oracle,architecture_score,0.0,0.0,0.0,0.0,nan,20
transform,constitutive - oracle,boundary_precision,0.0,0.0,0.0,0.0,nan,20
transform,constitutive - oracle,role_accuracy,0.0,0.0,0.0,0.0,nan,20
transform,constitutive - oracle,blanket_accuracy,0.0,0.0,0.0,0.0,nan,20
transform,constitutive - oracle,exact_partition,0.0,0.0,0.0,0.0,nan,20
